code,name,industry,lu_count_5d,streak,keyword
000887,中鼎股份,汽车配件,1,1,减速器
001282,三联锻造,汽车配件,1,1,减速器
002903,宇环数控,机床制造,1,1,减速器
300780,德恩精工,机械基件,1,1,减速器
600835,上海机电,运输设备,1,1,减速器
603166,福达股份,汽车配件,1,1,减速器
002080,中材科技,玻璃,3,3,燃料电池
002138,顺络电子,元器件,2,2,燃料电池
002806,华锋股份,汽车配件,2,2,燃料电池
688598,金博股份,矿物制品,2,2,燃料电池
000811,冰轮环境,工程机械,4,1,燃料电池
002971,和远气体,化工原料,2,1,燃料电池
600378,昊华科技,化工原料,2,1,燃料电池
603757,大元泵业,机械基件,2,1,燃料电池
002158,汉钟精机,工程机械,1,1,燃料电池
002536,飞龙股份,汽车配件,1,1,燃料电池
002635,安洁科技,元器件,1,1,燃料电池
002643,万润股份,化工原料,1,1,燃料电池
002733,雄韬股份,电气设备,1,1,燃料电池
300408,三环集团,元器件,1,1,燃料电池
600114,东睦股份,机械基件,1,1,燃料电池
600459,贵研铂业,小金属,1,1,燃料电池
601208,东材科技,化工原料,1,1,燃料电池
002579,中京电子,元器件,3,3,物联网
000733,振华科技,元器件,2,2,物联网
300570,太辰光,通信设备,2,2,物联网
600487,亨通光电,通信设备,2,1,物联网
600584,长电科技,半导体,2,1,物联网
603083,剑桥科技,通信设备,2,1,物联网
603986,兆易创新,半导体,2,1,物联网
000725,京东方Ａ,元器件,1,1,物联网
002008,大族激光,专用机械,1,1,物联网
002047,宝鹰股份,装修装饰,1,1,物联网
002137,实益达,元器件,1,1,物联网
002849,威星智能,电器仪表,1,1,物联网
002980,华盛昌,电器仪表,1,1,物联网
300166,东方国信,软件服务,1,1,物联网
300319,麦捷科技,元器件,1,1,物联网
603042,华脉科技,通信设备,1,1,物联网
603660,苏州科达,IT设备,1,1,物联网
603956,威派格,专用机械,1,1,物联网
605178,时空科技,装修装饰,1,1,物联网
605288,凯迪股份,电气设备,1,1,物联网
688766,普冉股份,半导体,1,1,物联网
601868,中国能建,建筑工程,1,1,民爆
603011,合锻智能,专用机械,2,2,海工装备
300726,宏达电子,元器件,1,1,海工装备
600869,远东股份,电气设备,1,1,海工装备
601869,长飞光纤,通信设备,1,1,海工装备
002159,三特索道,旅游服务,1,1,酒店
001339,智微智能,IT设备,2,2,车联网
002990,盛视科技,软件服务,2,2,车联网
000977,浪潮信息,IT设备,1,1,车联网
002161,远 望 谷,通信设备,1,1,车联网
002446,盛路通信,通信设备,1,1,车联网
002906,华阳集团,汽车配件,1,1,车联网
300088,长信科技,元器件,1,1,车联网
300386,飞天诚信,IT设备,1,1,车联网
300735,光弘科技,元器件,1,1,车联网
301099,雅创电子,元器件,1,1,车联网
688170,德龙激光,专用机械,1,1,钙钛矿电池
002436,兴森科技,元器件,3,3,卫星
000823,超声电子,元器件,3,1,卫星
003031,中瓷电子,元器件,2,1,卫星
600498,烽火通信,通信设备,2,1,卫星
002194,武汉凡谷,通信设备,1,1,卫星
300620,光库科技,通信设备,1,1,卫星
300903,科翔股份,元器件,1,1,卫星
600246,万通发展,区域地产,1,1,卫星
603679,华体科技,电气设备,1,1,卫星
605058,澳弘电子,元器件,1,1,卫星
000411,英特集团,医药商业,1,1,医美
002950,奥美医疗,医疗保健,1,1,医美
002907,华森制药,中成药,1,1,中药
301111,粤万年青,中成药,1,1,中药
600671,天目药业,中成药,1,1,中药
002266,浙富控股,环境保护,1,1,影视
002449,国星光电,半导体,1,1,影视
600052,东望时代,供气供热,1,1,影视
002972,科安达,运输设备,2,2,数据安全
603496,恒为科技,IT设备,1,1,数据安全
603803,瑞斯康达,通信设备,1,1,数据安全
000889,中嘉博创,通信设备,1,1,数字货币
002657,中科金财,软件服务,1,1,数字货币
300085,银之杰,软件服务,1,1,数字货币
